City,Date_Updated,Country,Latitude,Longitude,Temperature_Max,Humidity,Cloudiness,Wind_Speed
basco,2020-04-12,PH,20.45,121.97,69.46,71,87,22.79
atbasar,2020-04-12,KZ,51.8,68.33,39.9,64,4,7.63
souillac,2020-04-12,MU,-20.52,57.52,78.01,83,75,13.87
kruisfontein,2020-04-12,ZA,-34,24.73,54.12,80,3,7.09
batemans bay,2020-04-12,AU,-35.72,150.18,57,100,100,2.66
oktyabrskoye,2020-04-12,RU,43.06,44.74,32.45,68,96,4.16
bengkulu,2020-04-12,ID,-3.8,102.27,78.42,80,93,3.42
talnakh,2020-04-12,RU,69.49,88.4,17.6,78,100,6.71
vigeland,2020-04-12,NO,58.08,7.3,39.2,44,0,10.29
gualaquiza,2020-04-12,EC,-3.4,-78.55,67.6,63,94,1.63
mikhaylovka,2020-04-12,RU,50.06,43.24,28.99,80,0,11.9
arraial do cabo,2020-04-12,BR,-22.97,-42.03,73.4,83,75,5.82
chabahar,2020-04-12,IR,25.29,60.64,76.95,79,99,5.46
kiyasovo,2020-04-12,RU,56.35,53.12,37.99,94,100,1.01
kapaa,2020-04-12,US,22.08,-159.32,78.8,61,1,9.17
chokurdakh,2020-04-12,RU,70.63,147.92,-1.59,91,52,7.63
hithadhoo,2020-04-12,MV,-0.6,73.08,84.47,69,20,8.14
mataura,2020-04-12,NZ,-46.19,168.86,46,81,73,11.01
barra da estiva,2020-04-12,BR,-13.63,-41.33,67.68,75,98,3.62
grand gaube,2020-04-12,MU,-20.01,57.66,78.01,83,75,13.87
rikitea,2020-04-12,PF,-23.12,-134.97,77.95,78,45,17.87
ushuaia,2020-04-12,AR,-54.8,-68.3,42.8,87,90,21.92
bambous virieux,2020-04-12,MU,-20.34,57.76,78.01,83,75,13.87
teguldet,2020-04-12,RU,57.31,88.17,32.4,89,0,7.78
pevek,2020-04-12,RU,69.7,170.31,10.99,91,49,11.48
hermanus,2020-04-12,ZA,-34.42,19.23,55.99,79,5,3.62
tuktoyaktuk,2020-04-12,CA,69.45,-133.04,21.2,79,20,4.7
dingle,2020-04-12,PH,11,122.67,82.31,64,23,2.44
batagay-alyta,2020-04-12,RU,67.8,130.41,18.41,86,97,7.61
bluff,2020-04-12,NZ,-46.6,168.33,46,81,78,11.01
concarneau,2020-04-12,FR,47.88,-3.92,55,93,99,5.82
jamestown,2020-04-12,US,42.1,-79.24,66.2,38,90,6.93
bongandanga,2020-04-12,CD,1.5,21.05,70.41,85,100,1.1
huarmey,2020-04-12,PE,-10.07,-78.15,73.96,76,74,9.13
burns lake,2020-04-12,CA,54.23,-125.75,45.43,39,0,2.39
kodiak,2020-04-12,US,57.79,-152.41,44.6,81,90,5.82
salalah,2020-04-12,OM,17.02,54.09,82.4,69,20,10.29
thompson,2020-04-12,CA,55.74,-97.86,12.2,56,90,6.93
novobirilyussy,2020-04-12,RU,56.95,90.67,32.9,85,0,8.19
olafsvik,2020-04-12,IS,64.89,-23.71,42.28,86,100,27.31
butaritari,2020-04-12,KI,3.07,172.79,83.14,79,95,15.73
bundaberg,2020-04-12,AU,-24.85,152.35,80.01,68,13,10.29
hilo,2020-04-12,US,19.73,-155.09,82.4,65,1,11.41
hasaki,2020-04-12,JP,35.73,140.83,50,100,75,19.46
yerbogachen,2020-04-12,RU,61.28,108.01,32.65,83,16,3.78
tasiilaq,2020-04-12,GL,65.61,-37.64,30.2,92,100,33.33
kiunga,2020-04-12,PG,-6.12,141.29,74.19,97,100,3.69
avarua,2020-04-12,CK,-21.21,-159.78,80.6,94,97,3.36
kashi,2020-04-12,CN,39.45,75.98,64.4,11,91,8.95
ribeira grande,2020-04-12,PT,38.52,-28.7,61.74,78,5,7.11
albany,2020-04-12,US,42.6,-73.97,62.6,25,75,16.11
lorengau,2020-04-12,PG,-2.02,147.27,84.76,70,40,3.13
biltine,2020-04-12,TD,14.53,20.92,75.61,15,40,11.01
qena,2020-04-12,EG,26.16,32.72,68,34,0,6.53
atuona,2020-04-12,PF,-9.8,-139.03,82.27,68,6,3.76
esperance,2020-04-12,AU,-33.87,121.9,62.6,100,90,6.31
patiya,2020-04-12,BD,22.29,91.98,70.07,84,0,2.39
tiksi,2020-04-12,RU,71.69,128.87,17.26,94,100,9.31
puerto ayora,2020-04-12,EC,-0.74,-90.35,80.6,88,75,5.82
mar del plata,2020-04-12,AR,-38,-57.56,64.4,82,90,14.99
yellowknife,2020-04-12,CA,62.46,-114.35,21,44,5,5.82
taltal,2020-04-12,CL,-25.4,-70.48,61.61,76,7,2.77
campeche,2020-04-12,MX,19,-90.5,102.56,20,37,4.97
saint-philippe,2020-04-12,RE,-21.36,55.77,73.4,78,93,6.93
marawi,2020-04-12,PH,8,124.29,77.41,53,0,1.14
waipawa,2020-04-12,NZ,-41.41,175.52,64.4,59,21,19.46
georgetown,2020-04-12,MY,5.41,100.34,80.6,94,20,2.24
kokopo,2020-04-12,PG,-4.35,152.26,85.87,65,86,4.5
coquimbo,2020-04-12,CL,-29.95,-71.34,60.8,77,90,8.05
constitucion,2020-04-12,CL,-35.33,-72.42,51.93,70,9,8.48
santa fe,2020-04-12,AR,-31.63,-60.7,73,58,78,4.68
touros,2020-04-12,BR,-5.2,-35.46,80.6,83,74,6.93
kavieng,2020-04-12,PG,-2.57,150.8,83.7,73,98,2.91
salisbury,2020-04-12,GB,51.07,-1.8,57.2,58,74,3.36
tilichiki,2020-04-12,RU,60.47,166.1,14.05,90,1,7
la ronge,2020-04-12,CA,55.1,-105.28,17.6,52,75,14.99
vestmannaeyjar,2020-04-12,IS,63.44,-20.27,44.28,88,100,22.97
busselton,2020-04-12,AU,-33.65,115.33,62.01,71,67,5.99
anadyr,2020-04-12,RU,64.75,177.48,3.2,84,40,13.42
qaanaaq,2020-04-12,GL,77.48,-69.36,14.95,77,93,3.8
hobart,2020-04-12,AU,-42.88,147.33,55,93,75,1.12
urumqi,2020-04-12,CN,43.8,87.6,55.4,37,34,4.47
lewistown,2020-04-12,US,40.6,-77.57,64.99,34,1,6.93
acapulco,2020-04-12,MX,16.86,-99.89,84.2,74,40,6.93
lagoa,2020-04-12,PT,39.05,-27.98,61.11,83,3,9.01
bethel,2020-04-12,US,41.37,-73.41,61,62,20,6.93
portland,2020-04-12,US,45.52,-122.68,66.99,22,20,14.99
encruzilhada do sul,2020-04-12,BR,-30.54,-52.52,56.41,87,32,8.01
hofn,2020-04-12,IS,64.25,-15.21,35.33,83,84,17.92
beloha,2020-04-12,MG,-25.17,45.05,73.22,71,0,5.17
cape town,2020-04-12,ZA,-33.93,18.42,55.99,82,0,3.36
royan,2020-04-12,FR,45.63,-1.03,57.2,93,92,6.93
wanaka,2020-04-12,NZ,-44.7,169.15,47.46,46,33,12.1
nome,2020-04-12,US,64.5,-165.41,32,99,90,14.99
san quintin,2020-04-12,MX,30.48,-115.95,61.9,67,6,15.79
salta,2020-04-12,AR,-24.79,-65.41,68,63,40,4.7
punta arenas,2020-04-12,CL,-53.15,-70.92,50,71,40,32.21
cidreira,2020-04-12,BR,-30.18,-50.21,66.97,78,60,14.92
geraldton,2020-04-12,AU,-28.77,114.6,71.6,83,75,6.93
fortuna,2020-04-12,US,40.6,-124.16,63,82,1,17.22
kizlyar,2020-04-12,RU,43.85,46.72,42.39,62,66,10.2
new norfolk,2020-04-12,AU,-42.78,147.06,55,93,75,1.12
kibara,2020-04-12,TZ,-2.15,33.45,73.4,78,40,19.46
lebu,2020-04-12,CL,-37.62,-73.65,52.05,71,0,12.37
castro,2020-04-12,BR,-24.79,-50.01,57.7,68,22,6.04
saint-augustin,2020-04-12,CA,51.23,-58.65,29.08,93,7,11.61
altay,2020-04-12,CN,47.87,88.12,46.74,35,100,3.44
mahebourg,2020-04-12,MU,-20.41,57.7,78.01,83,75,13.87
crossville,2020-04-12,US,35.95,-85.03,63,87,90,8.05
okhotsk,2020-04-12,RU,59.38,143.3,27.7,95,100,5.88
kargil,2020-04-12,IN,34.57,76.1,30.25,21,37,3.44
puerto del rosario,2020-04-12,ES,28.5,-13.86,66.2,63,32,9.17
saskylakh,2020-04-12,RU,71.92,114.08,3.61,92,99,18.1
carutapera,2020-04-12,BR,-1.2,-46.02,80.37,84,98,9.6
port lincoln,2020-04-12,AU,-34.73,135.87,63.23,54,48,9.53
east london,2020-04-12,ZA,-33.02,27.91,64.85,65,0,12.24
deputatskiy,2020-04-12,RU,69.3,139.9,6.42,86,39,3.47
merauke,2020-04-12,ID,-8.47,140.33,82.96,76,76,8.88
upernavik,2020-04-12,GL,72.79,-56.15,29.53,98,100,5.28
vaini,2020-04-12,TO,-21.2,-175.2,80.6,69,20,9.17
monywa,2020-04-12,MM,22.12,95.13,80.1,35,0,5.21
jackson,2020-04-12,US,42.42,-122.83,71.6,20,1,3.36
shibetsu,2020-04-12,JP,43.66,145.13,38.95,72,0,4.14
barrow,2020-04-12,US,71.29,-156.79,24.8,85,90,4.7
san cristobal,2020-04-12,VE,7.77,-72.22,89.6,55,20,10.29
aromashevo,2020-04-12,RU,56.86,68.64,42.55,79,93,11.21
khandyga,2020-04-12,RU,62.67,135.6,27.21,95,60,3.11
carnarvon,2020-04-12,AU,-24.87,113.63,75.2,100,1,14.99
norman wells,2020-04-12,CA,65.28,-126.83,37.4,40,75,8.05
malakal,2020-04-12,SS,9.53,31.66,82.45,13,59,1.59
labuhan,2020-04-12,ID,-6.88,112.21,78.64,83,43,4.54
ponta do sol,2020-04-12,PT,32.67,-17.1,62.6,77,75,8.05
sonamukhi,2020-04-12,IN,23.3,87.42,74.21,87,0,5.35
hamilton,2020-04-12,US,39.18,-84.53,61,59,90,4.7
suluq,2020-04-12,LY,31.67,20.25,62.24,42,0,11.79
baykit,2020-04-12,RU,61.67,96.37,29.5,94,16,0.72
tazovskiy,2020-04-12,RU,67.47,78.7,16.05,97,100,5.66
port elizabeth,2020-04-12,ZA,-33.92,25.57,60.8,72,20,9.17
inhambane,2020-04-12,MZ,-23.86,35.38,75.13,83,0,11.23
dilla,2020-04-12,ET,6.41,38.31,66.27,50,89,5.23
clyde river,2020-04-12,CA,70.47,-68.59,10.4,85,90,25.28
makakilo city,2020-04-12,US,21.35,-158.09,82.4,57,20,11.41
padang,2020-04-12,ID,-0.95,100.35,77.56,77,100,3.8
ilulissat,2020-04-12,GL,69.22,-51.1,35.6,80,100,8.05
jam sahib,2020-04-12,PK,26.3,68.63,78.8,50,39,4.7
muravlenko,2020-04-12,RU,63.79,74.52,34.52,95,100,7.25
khatanga,2020-04-12,RU,71.97,102.5,6.64,95,48,9.89
baghdad,2020-04-12,IQ,33.34,44.4,60.8,55,20,9.17
maamba,2020-04-12,ZM,-17.37,27.15,70.21,53,25,1.83
ciudad bolivar,2020-04-12,VE,8.12,-63.55,88.84,39,73,14.25
maniitsoq,2020-04-12,GL,65.42,-52.9,32.43,95,100,30.2
nanortalik,2020-04-12,GL,60.14,-45.24,31.75,97,83,18.32
bonito,2020-04-12,BR,-21.12,-56.48,71.02,63,32,0.51
flinders,2020-04-12,AU,-34.58,150.86,63,67,100,9.17
seminole,2020-04-12,US,28.71,-81.21,90,66,75,18.34
saint george,2020-04-12,US,37.1,-113.58,68,32,1,20.8
ponta delgada,2020-04-12,PT,37.73,-25.67,60.8,72,75,10.29
rafaela,2020-04-12,AR,-31.25,-61.49,72,42,71,5.32
neuquen,2020-04-12,AR,-38.95,-68.06,68,56,20,5.23
aniva,2020-04-12,RU,46.71,142.53,30.2,80,0,4.47
mont-de-marsan,2020-04-12,FR,44,-0.67,60.8,82,80,5.82
krasnokamensk,2020-04-12,RU,50.1,118.04,52.75,26,64,2.91
faya,2020-04-12,SA,18.39,42.45,62.6,82,20,4.7
airai,2020-04-12,TL,-8.93,125.41,68.59,65,44,0.63
kaitangata,2020-04-12,NZ,-46.28,169.85,48,65,88,5.99
bontang,2020-04-12,ID,0.13,117.5,80.96,80,79,6.2
sao joao da barra,2020-04-12,BR,-21.64,-41.05,73.4,73,75,4.7
egvekinot,2020-04-12,RU,66.32,-179.17,22.91,86,23,1.54
victoria,2020-04-12,HK,22.29,114.16,62.6,36,44,11.41
itaqui,2020-04-12,BR,-29.13,-56.55,63.48,57,0,7.83
lufilufi,2020-04-12,WS,-13.87,-171.6,86,79,75,3.36
chapais,2020-04-12,CA,49.78,-74.85,39.2,51,75,9.17
krasnoselkup,2020-04-12,RU,65.7,82.47,34.9,98,100,8.21
nagorsk,2020-04-12,RU,59.32,50.81,24.8,95,96,10.04
lyubech,2020-04-12,UA,51.7,30.66,39.69,62,89,9.31
aykhal,2020-04-12,RU,66,111.5,32,89,90,6.71
youghal,2020-04-12,IE,51.95,-7.85,51.01,75,20,21.92
port alfred,2020-04-12,ZA,-33.59,26.89,60.01,83,12,3
araouane,2020-04-12,ML,18.9,-3.53,90.27,22,93,7.43
laguna,2020-04-12,US,38.42,-121.42,75.99,56,1,4.59
lubango,2020-04-12,AO,-14.92,13.49,59.36,55,11,1.57
sahuaripa,2020-04-12,MX,29.05,-109.23,77,16,0,6.78
puerto madryn,2020-04-12,AR,-42.77,-65.04,53.4,40,0,4.45
saint anthony,2020-04-12,US,45.02,-93.22,33.01,86,90,16.11
presidencia roque saenz pena,2020-04-12,AR,-26.79,-60.44,66.6,54,0,5.93
porbandar,2020-04-12,IN,21.64,69.61,79.29,63,0,15.32
cao bang,2020-04-12,VN,22.67,106.25,62.06,66,98,1.01
nikolskoye,2020-04-12,RU,59.7,30.79,42.8,87,90,11.18
lazaro cardenas,2020-04-12,MX,17.96,-102.2,81.77,64,37,6.53
saint-louis,2020-04-12,SN,16.33,-15,95,20,9,2.24
cadillac,2020-04-12,US,44.25,-85.4,59,54,90,10.29
ornskoldsvik,2020-04-12,SE,63.29,18.72,35.6,55,2,19.46
vila franca do campo,2020-04-12,PT,37.72,-25.43,60.8,72,75,10.29
severo-kurilsk,2020-04-12,RU,50.68,156.12,30.81,93,81,9.08
panji,2020-04-12,ID,-7.73,114.1,80.24,69,24,3.87
hobyo,2020-04-12,SO,5.35,48.53,82.87,77,45,9.93
batagay,2020-04-12,RU,67.63,134.63,21.02,92,63,4.59
kamaishi,2020-04-12,JP,39.27,141.88,45.46,79,91,19.73
ukiah,2020-04-12,US,39.15,-123.21,75.2,41,75,10.29
ulaangom,2020-04-12,MN,49.98,92.07,30.11,69,96,0.43
marzuq,2020-04-12,YE,14.4,46.47,71.56,52,61,4.38
kirakira,2020-04-12,SB,-10.45,161.92,84.11,71,100,4.97
safonovo,2020-04-12,RU,55.15,33.22,39.49,64,96,10.29
camocim,2020-04-12,BR,-2.9,-40.84,77.95,87,100,5.5
lukovetskiy,2020-04-12,RU,64.3,41.92,32,89,92,8.95
mayumba,2020-04-12,GA,-3.43,10.66,79.02,85,93,4.79
nouadhibou,2020-04-12,MR,20.93,-17.03,67.77,70,44,22.12
moose factory,2020-04-12,CA,51.26,-80.61,28.4,74,1,14.99
bredasdorp,2020-04-12,ZA,-34.53,20.04,53.6,76,2,58.61
wana,2020-04-12,PK,32.3,69.57,64.74,35,93,3.85
port hardy,2020-04-12,CA,50.7,-127.42,55.4,28,40,4.7
aklavik,2020-04-12,CA,68.22,-135.01,32,96,20,5.82
saiha,2020-04-12,IN,22.48,92.97,63.68,54,0,3.74
sechura,2020-04-12,PE,-5.56,-80.82,76.24,70,31,15.84
lac du bonnet,2020-04-12,CA,50.25,-96.06,28,53,40,6.8
dikson,2020-04-12,RU,73.51,80.55,13.23,96,100,17.31
kidal,2020-04-12,ML,18.44,1.41,83.91,12,50,6.62
pyapon,2020-04-12,MM,16.28,95.68,74.17,90,6,3.85
port blair,2020-04-12,IN,11.67,92.75,81.73,74,92,4.65
xining,2020-04-12,CN,36.62,101.77,43.2,22,26,3.51
nouakchott,2020-04-12,MR,18.09,-15.98,75.2,69,53,16.11
harper,2020-04-12,LR,4.38,-7.72,80.71,84,100,5.5
taoudenni,2020-04-12,ML,22.68,-3.98,84.9,14,42,9.31
avera,2020-04-12,US,33.19,-82.53,75.2,100,90,13.87
kavaratti,2020-04-12,IN,10.57,72.64,84.38,72,21,7.76
gat,2020-04-12,IL,31.61,34.76,57.99,87,0,2.24
lasa,2020-04-12,IT,46.62,10.7,51.01,69,98,2.24
cururupu,2020-04-12,BR,-1.83,-44.87,78.15,88,100,4.03
hambantota,2020-04-12,LK,6.12,81.12,80.02,82,7,8.95
boa vista,2020-04-12,BR,2.82,-60.67,91.4,41,40,14.99
san borja,2020-04-12,BO,-14.82,-66.85,74.1,73,11,1.68
bhadrachalam,2020-04-12,IN,17.67,80.88,77.47,66,0,3.31
longyearbyen,2020-04-12,SJ,78.22,15.64,-4,70,40,2.24
mbala,2020-04-12,ZM,-8.84,31.37,61.47,61,76,5.91
cehegin,2020-04-12,ES,38.09,-1.8,57,85,100,2.08
gejiu,2020-04-12,CN,23.31,103.16,48.11,57,99,2.86
cardston,2020-04-12,CA,49.2,-113.3,28.4,39,75,6.93
jerez,2020-04-12,GT,14.1,-89.75,78.57,52,44,7.07
fort-shevchenko,2020-04-12,KZ,44.51,50.26,46.15,57,27,22.66
la palma,2020-04-12,US,33.85,-118.05,63,67,90,8.05
acajutla,2020-04-12,SV,13.59,-89.83,84.99,70,27,3
choya,2020-04-12,RU,52.01,86.55,34.27,79,63,2.95
emerald,2020-04-12,AU,-23.53,148.17,69.8,35,10,10.29
lukhovka,2020-04-12,RU,54.15,45.26,28.78,90,18,13.76
constantine,2020-04-12,DZ,36.37,6.61,53.6,87,74,4.56
kalabo,2020-04-12,ZM,-14.97,22.68,65.82,54,3,3.71
pocatello,2020-04-12,US,42.87,-112.45,39.99,27,75,9.17
isangel,2020-04-12,VU,-19.55,169.27,82.4,78,20,4.7
zhigansk,2020-04-12,RU,66.77,123.37,31.8,98,100,8.57
hay river,2020-04-12,CA,60.82,-115.8,17.6,57,40,9.17
pisco,2020-04-12,PE,-13.7,-76.22,78.01,30,1,23.04
kem,2020-04-12,RU,64.96,34.58,32.32,97,100,23.02
balabac,2020-04-12,PH,7.99,117.06,84.16,69,59,9.19
burnie,2020-04-12,AU,-41.07,145.92,55,7,92,5.99
tungor,2020-04-12,RU,53.38,142.96,30.25,95,8,1.99
dwarka,2020-04-12,IN,22.24,68.97,79.9,74,0,15.57
bayanday,2020-04-12,RU,53.07,105.51,34.2,62,0,2.44
torbay,2020-04-12,CA,47.67,-52.73,41,52,20,10.29
biloela,2020-04-12,AU,-24.42,150.5,76.8,51,30,9.73
necochea,2020-04-12,AR,-38.55,-58.74,60.01,97,100,1.99
puerto carreno,2020-04-12,CO,6.19,-67.49,98.6,29,40,2.24
clarence town,2020-04-12,AU,-32.58,151.78,60.01,87,70,8.05
cheney,2020-04-12,US,47.49,-117.58,50,24,75,12.75
iskateley,2020-04-12,RU,67.68,53.15,10.89,92,0,4.85
urgut,2020-04-12,UZ,39.4,67.24,57.2,93,75,2.24
peniche,2020-04-12,PT,39.36,-9.38,57.99,87,75,5.82
ghanzi,2020-04-12,BW,-21.57,21.78,73.53,30,75,5.39
oksfjord,2020-04-12,NO,70.24,22.35,30.2,74,100,23.04
tanout,2020-04-12,NE,14.97,8.89,78.48,14,44,10.38
oistins,2020-04-12,BB,13.07,-59.53,80.6,65,20,14.99
cabo san lucas,2020-04-12,MX,22.89,-109.91,75.2,56,5,5.82
roma,2020-04-12,US,43.21,-75.46,63,31,90,8.05
north bend,2020-04-12,US,43.41,-124.22,66.99,58,1,20.8
gao,2020-04-12,ML,16.64,1.64,84.42,12,8,6.22
belmonte,2020-04-12,BR,-15.86,-38.88,77,88,75,4.7
cowra,2020-04-12,AU,-33.83,148.68,55,33,98,1.45
ironton,2020-04-12,US,38.54,-82.68,66.2,63,90,16.11
klaksvik,2020-04-12,FO,62.23,-6.59,32,84,97,11.41
riyadh,2020-04-12,SA,24.69,46.72,71.6,28,55,6.93
faanui,2020-04-12,PF,-16.48,-151.75,83.57,68,72,9.48
guerrero negro,2020-04-12,MX,27.98,-114.06,63.14,66,42,17.87
new smyrna beach,2020-04-12,US,29.03,-80.93,89.01,74,75,18.34
rock sound,2020-04-12,BS,24.9,-76.2,76.78,83,16,21.39
dudinka,2020-04-12,RU,69.41,86.18,17.6,78,100,6.71
chulman,2020-04-12,RU,56.85,124.91,27.57,78,53,8.79
darab,2020-04-12,IR,28.75,54.54,64.56,43,83,3.49
